id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
0XLZAq9i22abtlbjdeMoUv,Nightwings,Tommy LiPuma Works,2beFmaDYPc43JcvmcsIvic,"['Claus Ogerman', 'Michael Brecker']","['3lZyF2ZG6fZLQvxgJU0y5r', '5IkynsVZoak9UR2Xt8qsMj']",9,2,False,0.239,0.2339999999999999,9,-17.549,0,0.0361,0.787,0.875,0.0969999999999999,0.0994,78.684,465507,4.0,2019,2019-07-19
6TgJQunZz86IZ0P8xY3ovO,Battle of the Bones,Knuckles Up,1YNfwklnPYWbaLDSVGwBOk,['Flatfoot 56'],['7eQrNqwmiIvFKEMvHRvPLB'],8,1,False,0.286,0.972,7,-3.778,1,0.0675,0.000651,0.0,0.237,0.591,153.489,223280,4.0,2006,2006-06-06
26DWXgeg1zvukDaleblP1W,"All of You - Recorded Live in Concert, 2006","I Remember You (Recorded Live in Concert, 2006)",6Pxu3LZJKXZCskWFYhZq0P,['John Hicks'],['2JzTVgQ5vs7k1gGXbC5DWG'],4,1,False,0.369,0.143,3,-24.142,1,0.0516,0.982,0.888,0.498,0.181,71.843,119933,4.0,2009,2009-07-28
4nkMDSZgOFw9xgPXTsRWHT,The Grind,Hip-Hop Revisited,5wjIi7yHaxzzOJ4KrWpeaA,['Salim'],['6A2nBPRqCpGk3yS6jOHDWf'],11,1,False,0.6970000000000001,0.625,0,-10.632,0,0.371,0.0236,3.14e-06,0.0759,0.77,89.85600000000002,213253,4.0,2007,2007-01-01
1kz0URNgGCiawiQWSCeeau,Little Engine,Never Grow Up,6VJiCq7KOoKQ4S4ZflJNFS,"['Michael Johns', 'Brooke White']","['4eMAGxvPy47T4NX9MjTuuB', '1feuQE7d9izI54MoL5Lc7t']",10,1,False,0.484,0.23,4,-9.62,1,0.0279,0.7879999999999999,0.0,0.0722,0.283,76.291,144227,4.0,2015,2015-02-10
3GAcYfp8f2WhhPDk4zAU18,You Pretend to Be the Moon,"Memories of Love, Eternal Youth, and Partygoing.",3YX2XsWEPgFIuune1OGasH,['Future Bible Heroes'],['3nHZ0zdyaJPXqpJzZcxiMM'],5,1,False,0.5329999999999999,0.396,3,-10.503,0,0.0286,0.7509999999999999,0.807,0.0857,0.386,111.967,248960,4.0,2013,2013-06-04
29b1E3MaFeQbJK5GCq6Ml8,Heavy Like the World,Heavy Like the World,3aIaxeJ49Y4Pd6WLTaMRSc,['Guided By Voices'],['4oV5EVJ0XFWsJKoOvdRPvl'],1,1,False,0.456,0.865,0,-5.256,1,0.0355,0.000434,0.00144,0.308,0.252,127.076,192653,4.0,2019,2019-08-30
1zc3WjsxsGlwuPmNFKA3Xy,If You Love Me,Yours Truly,7JfbR90X0hgXzFxhRHttom,['Air Supply'],['4xXCRXOfQKQ2gjWxNhNzYW'],9,1,False,0.614,0.5329999999999999,0,-8.08,1,0.0261,0.735,0.000463,0.146,0.379,85.932,262067,4.0,2001,2001-08-28
5qBy218D7WKnh6hTS89W1M,Remember the Laughter,Remember the Laughter,6FIIc4P9d2Oh6gbZqEtPGE,['Ray Toro'],['4ke1u9P99wW2B8D4bCebGI'],15,1,False,0.2319999999999999,0.7879999999999999,0,-4.997,1,0.0345,0.0643,1.21e-06,0.044,0.2189999999999999,150.039,375203,3.0,2016,2016-11-18
7emsaCfBKpsTblkvKNgUE4,Drink Donna,Wild Ride! A Hot Rod Surf Compilation,123t1pE0gGXO2nmxcdTbL8,['The Cocktail Preachers'],['6b93mQLTaKaRkUshVjzugQ'],13,1,False,0.382,0.617,7,-8.966000000000003,0,0.0426,0.00262,0.856,0.0782,0.546,143.49200000000005,172960,3.0,2008,2008-05-07
3ZAVvi19ShYXzGuexxUOj2,Flowers,Morphosis,3AZTmWWyywqGceeyEIwcH7,['João Balouta'],['5VrvCa6CGED5cJyFuxP4A4'],5,1,False,0.255,0.273,9,-17.807000000000006,0,0.0405,0.941,0.922,0.128,0.0738,146.667,369266,4.0,2017,2017-06-08
2pV5HNTMZrw8aPdkY9STfY,I'm Gonna Write A Song,Somebody Bigger Than You And I,7tGL202mx45vQqbVBXAwT3,['Andy Griffith'],['7hEbJvh3BAedDS2vVJvx0B'],11,1,False,0.628,0.653,7,-10.774,1,0.0383,0.556,0.0,0.395,0.937,114.052,146000,4.0,1972,1972
3hdV2wDvmtJVlCVV7CNa8z,Sleep In,Cold House Burning,7bfW31CyFomrUeob2eJwNl,['Camille Delean'],['6dYHnsVVDMlMPHKP5RzOoE'],2,1,False,0.578,0.301,4,-10.484000000000002,1,0.0237,0.575,0.00747,0.0617,0.159,76.221,257029,4.0,2020,2020-06-05
6vUWKqILqV0okiQ25qT6JG,That's How I Got to Memphis,Hot Singles Club,1b7xseasorY51gPyL4ByIK,['The Stick Arounds'],['7CalpqbPEECWECW89gr3oR'],6,1,False,0.407,0.748,4,-9.449,1,0.0484,0.0559,0.00063,0.176,0.657,122.206,195819,4.0,2020,2020-02-14
6XQDbcMvvjL3zsKxaPd5Rm,Roofs of Heaven,A Mishmash of Changing Moods,6vjkbC4ES9jJ5lCsBDbbq7,['Applescal'],['3OOOyfUshaLXxcMdlGl7H5'],8,1,False,0.484,0.602,2,-10.003,1,0.0325,0.00185,0.54,0.0873,0.256,124.98,237347,4.0,2010,2010-04-19
1ebeztlxfpA2fLSYW85CzX,Pass By Me,Janktape Vol. 1,2PsuKIMWPQemQhz503zvop,"['Buddy', 'Kent Jamz']","['6PDLwWvgYNMfBRLqC1h5cJ', '4JgGhWEWcKIyT84mknHP2w']",3,1,True,0.91,0.4970000000000001,9,-6.006,0,0.24,0.196,6.06e-06,0.105,0.74,140.064,201893,4.0,2020,2020-04-17
4zs8aDorckQKlGwgaV8JA4,Stretching The Blue Sky - Feat. Tato,A Pure Land,0L4Brxy6bpT7mDimTdKJGg,['Sienná'],['3xUbvLtGtb41xMTl9SMX7r'],7,1,False,0.649,0.78,5,-17.83,0,0.0547,0.0354,0.00147,0.0992,0.5920000000000001,119.981,345000,4.0,2008,2008-03-11
4AryFqG4fm4jYEz3w0LcHK,Ok,Brooke Barrettsmith,6V5Eh8tggz2v8w7u7e2YnS,['Brooke Barrettsmith'],['68lQN5TPms8lKSTebiQpEu'],8,1,False,0.392,0.843,4,-5.572,0,0.0368,0.0044,0.0,0.296,0.5479999999999999,160.069,221533,4.0,2008,2008
1YX9eEZOmfRsLIIgaIRq2A,Majik Fugue Real Estate,Birdsong Over the Interior Castle,0AEu182zmdmOPOlBd0sIOm,['The Ecclesia'],['3JgehCtujWQ0be6rHj1A0I'],8,1,False,0.186,0.382,2,-13.449000000000002,1,0.0448,0.945,0.93,0.1639999999999999,0.0355,111.329,480027,5.0,2006,2006-03-21
