<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,20030618,000000,0.28197,0.29782,0.27982,0.29231,531359997,0
AAPL.US,D,20030619,000000,0.29604,0.29975,0.28686,0.29263,446266248,0
AAPL.US,D,20030620,000000,0.29604,0.29945,0.28899,0.29361,419897009,0
AAPL.US,D,20030623,000000,0.29522,0.30125,0.28686,0.29141,358955478,0
AAPL.US,D,20030624,000000,0.29749,0.30092,0.28686,0.28718,601836730,0
AAPL.US,D,20030625,000000,0.28718,0.29656,0.28622,0.29173,385177248,0
AAPL.US,D,20030626,000000,0.28592,0.29548,0.28592,0.2949,186515757,0
AAPL.US,D,20030627,000000,0.29522,0.29522,0.28257,0.28654,427193883,0
AAPL.US,D,20030630,000000,0.28567,0.29391,0.28411,0.29141,260705357,0
AAPL.US,D,20030701,000000,0.28868,0.29329,0.28315,0.29173,211372516,0
AAPL.US,D,20030702,000000,0.29111,0.29656,0.29082,0.29458,379903869,0
AAPL.US,D,20030703,000000,0.29055,0.29877,0.29025,0.29231,160898083,0
AAPL.US,D,20030707,000000,0.29458,0.30859,0.29231,0.30398,334323802,0
AAPL.US,D,20030708,000000,0.29845,0.31348,0.29782,0.31201,299834446,0
AAPL.US,D,20030709,000000,0.30909,0.31261,0.3043,0.3043,249567206,0
AAPL.US,D,20030710,000000,0.30398,0.30492,0.29627,0.29945,200186446,0
AAPL.US,D,20030711,000000,0.3006,0.30592,0.29877,0.30365,159832332,0
AAPL.US,D,20030714,000000,0.30617,0.31201,0.30398,0.3043,220033205,0
AAPL.US,D,20030715,000000,0.30617,0.30938,0.29686,0.29975,241334428,0
AAPL.US,D,20030716,000000,0.29975,0.30592,0.29627,0.30398,293309690,0
AAPL.US,D,20030717,000000,0.30884,0.3202,0.30767,0.31955,877312504,0
AAPL.US,D,20030718,000000,0.31955,0.32388,0.31201,0.31897,349003585,0
AAPL.US,D,20030721,000000,0.31649,0.31777,0.31034,0.31501,214391527,0
AAPL.US,D,20030722,000000,0.31922,0.3205,0.31348,0.31808,230286252,0
AAPL.US,D,20030723,000000,0.3202,0.3205,0.31298,0.31777,167047639,0
AAPL.US,D,20030724,000000,0.32167,0.32879,0.31163,0.31373,267718387,0
AAPL.US,D,20030725,000000,0.31225,0.33005,0.31201,0.32943,253054009,0
AAPL.US,D,20030728,000000,0.32879,0.32879,0.31897,0.32077,198954142,0
AAPL.US,D,20030729,000000,0.32077,0.32237,0.31373,0.31684,230212485,0
AAPL.US,D,20030730,000000,0.31744,0.31955,0.30859,0.31003,202732255,0
AAPL.US,D,20030731,000000,0.31714,0.32657,0.31466,0.32237,344247814,0
AAPL.US,D,20030801,000000,0.3211,0.32505,0.31551,0.31714,174717257,0
AAPL.US,D,20030804,000000,0.31409,0.32879,0.31003,0.32446,268746473,0
AAPL.US,D,20030805,000000,0.32657,0.32717,0.30739,0.31163,291312441,0
AAPL.US,D,20030806,000000,0.30671,0.30859,0.2981,0.29998,286666912,0
AAPL.US,D,20030807,000000,0.30187,0.30709,0.29686,0.30457,203648720,0
AAPL.US,D,20030808,000000,0.30739,0.30767,0.29975,0.30027,160987929,0
AAPL.US,D,20030811,000000,0.30302,0.30457,0.29845,0.3006,160262913,0
AAPL.US,D,20030812,000000,0.30218,0.30271,0.29749,0.30125,192042021,0
AAPL.US,D,20030813,000000,0.30365,0.31102,0.29945,0.30859,330656158,0
AAPL.US,D,20030814,000000,0.30909,0.31066,0.30492,0.30521,224926649,0
AAPL.US,D,20030815,000000,0.30521,0.30709,0.3006,0.30187,146997020,0
AAPL.US,D,20030818,000000,0.30365,0.31225,0.30153,0.31102,225133237,0
AAPL.US,D,20030819,000000,0.31163,0.31261,0.30592,0.31066,156129911,0
AAPL.US,D,20030820,000000,0.30859,0.32505,0.30795,0.32143,319203923,0
AAPL.US,D,20030821,000000,0.32167,0.33209,0.3202,0.33147,298962655,0
AAPL.US,D,20030822,000000,0.33336,0.33639,0.31551,0.31922,292271683,0
AAPL.US,D,20030825,000000,0.31777,0.31987,0.31315,0.31955,160909858,0
AAPL.US,D,20030826,000000,0.31744,0.32237,0.31132,0.32205,192649118,0
AAPL.US,D,20030827,000000,0.31987,0.32847,0.31588,0.32847,263588630,0
AAPL.US,D,20030828,000000,0.32599,0.33978,0.32599,0.33948,373275749,0
AAPL.US,D,20030829,000000,0.33948,0.34952,0.33727,0.34564,307329902,0
AAPL.US,D,20030902,000000,0.34647,0.35017,0.34246,0.34952,281654119,0
AAPL.US,D,20030903,000000,0.34861,0.35657,0.34802,0.35079,314053152,0
AAPL.US,D,20030904,000000,0.35413,0.35539,0.34802,0.34892,242889173,0
AAPL.US,D,20030905,000000,0.3477,0.35384,0.34277,0.34401,280466898,0
AAPL.US,D,20030908,000000,0.34368,0.34831,0.34335,0.3477,195320210,0
AAPL.US,D,20030909,000000,0.34468,0.34677,0.33817,0.34215,210650488,0
AAPL.US,D,20030910,000000,0.3401,0.34564,0.33791,0.33913,262641571,0
AAPL.US,D,20030911,000000,0.3401,0.34831,0.33791,0.34503,249748505,0
AAPL.US,D,20030912,000000,0.34435,0.35384,0.34103,0.35316,210218985,0
AAPL.US,D,20030915,000000,0.35316,0.35316,0.33817,0.33978,264918687,0
AAPL.US,D,20030916,000000,0.33978,0.3471,0.33948,0.34187,314156455,0
AAPL.US,D,20030917,000000,0.34215,0.34215,0.33425,0.33817,337971638,0
AAPL.US,D,20030918,000000,0.33791,0.35145,0.33553,0.34987,295352083,0
AAPL.US,D,20030919,000000,0.34987,0.35254,0.34277,0.34535,240520342,0
AAPL.US,D,20030922,000000,0.33913,0.34401,0.33518,0.33759,210004201,0
AAPL.US,D,20030923,000000,0.33662,0.34335,0.33458,0.34277,154682841,0
AAPL.US,D,20030924,000000,0.33978,0.34103,0.32237,0.32599,351851790,0
AAPL.US,D,20030925,000000,0.32629,0.32687,0.30938,0.31225,670848528,0
AAPL.US,D,20030926,000000,0.31034,0.32747,0.30795,0.31649,404824859,0
AAPL.US,D,20030929,000000,0.32847,0.32847,0.31551,0.3257,427082901,0
AAPL.US,D,20030930,000000,0.32237,0.32446,0.31261,0.31684,333330769,0
AAPL.US,D,20031001,000000,0.31684,0.32269,0.30884,0.31777,275744365,0
AAPL.US,D,20031002,000000,0.31808,0.31808,0.31003,0.31466,238304257,0
AAPL.US,D,20031003,000000,0.32077,0.33425,0.31955,0.33185,349882645,0
AAPL.US,D,20031006,000000,0.33147,0.34133,0.33005,0.34073,313367020,0
AAPL.US,D,20031007,000000,0.33727,0.35811,0.33518,0.35506,488369158,0
AAPL.US,D,20031008,000000,0.35539,0.35994,0.3477,0.35254,500614993,0
