Model,Shift_Type,Intensity,Accuracy,Accuracy_Lower_CI,Accuracy_Upper_CI,F1_Score,F1_Lower_CI,F1_Upper_CI,ROC_AUC,ROC_Lower_CI,ROC_Upper_CI,Brier_Score,Brier_Lower_CI,Brier_Upper_CI,KS_Statistic
Naïve Bayes,Covariate Shift,1.5,0.4678063261336882,0.4596401883509059,0.47662503838673353,0.47070010643317167,0.46283271802965775,0.48051645157331957,0.6963302761798624,0.6878499765233603,0.7048941076820545,0.5299146635871697,0.5208628577041728,0.5378512967215731,0.018097090407459944
Logistic Regression,Covariate Shift,1.5,0.7195209335653598,0.7121993039205651,0.7279788105230832,0.7322773884926916,0.7254843658464856,0.7404807494158372,0.7448624868033124,0.7338130644796144,0.7543120713186148,0.22218001767052187,0.21526711924175138,0.22736334295339666,0.018097090407459944
SVM (RBF),Covariate Shift,1.5,0.7301668543351417,0.722635377213635,0.7382255092639983,0.7351008848588426,0.7275982365448308,0.7434048364594332,0.7000402563003643,0.6877459803847382,0.7123558510403691,0.19578245544733905,0.1899177559263209,0.20137086804859441,0.018097090407459944
Decision Tree,Covariate Shift,1.5,0.6209438018220903,0.612334937045757,0.6294989251714607,0.6476267332844985,0.6396463206198593,0.6564654734851368,0.6133292559007942,0.6033499471749842,0.6245638066599376,0.3790817893336063,0.3705279455420207,0.38773223973794657,0.018097090407459944
Random Forest,Covariate Shift,1.5,0.6828743986078412,0.6745291227351827,0.6909330535366977,0.7007436387494671,0.6935787303833106,0.7092523687203438,0.7534745377461237,0.7437431908718664,0.7630286811569735,0.20010102137145844,0.19553816690551745,0.2052727328226476,0.018097090407459944
Gradient Boosting,Covariate Shift,1.5,0.6870713481420822,0.6772929675504146,0.6969981574367898,0.704118451039832,0.6943532677574148,0.713226411016537,0.7341799473893784,0.7236592507087823,0.7470005941908614,0.23778822665121924,0.23097900611565206,0.24473153949007956,0.018097090407459944
AdaBoost,Covariate Shift,1.5,0.7059064387347732,0.6944416009827004,0.712672740300952,0.7202380347888335,0.7095655957238332,0.7263568180698924,0.752307686374756,0.7412996700203474,0.7627357738409771,0.20489962481215976,0.202722459344795,0.20684834321008116,0.018097090407459944
Naive Baseline,Covariate Shift,2.0,0.7606715119254785,0.7526333299211793,0.7692675811239635,0.6572732564090966,0.6464066618936247,0.668946765373031,0.5,0.5,0.5,0.23932848807452145,0.23073241887603643,0.24736667007882077,0.01932741568323511
Naïve Bayes,Covariate Shift,2.0,0.4286006756065104,0.422507421435152,0.4378928242399427,0.4191434374247032,0.4116739771772596,0.42783176840409304,0.6593696222526975,0.6537450218392246,0.6678331240235161,0.5689341148084989,0.5596545685834168,0.575270099853846,0.01932741568323511
Logistic Regression,Covariate Shift,2.0,0.6786774490736002,0.6703270549698025,0.6898172791483264,0.6959145545197732,0.6875600023617925,0.7062796224788223,0.7008956307351846,0.6893733296562747,0.7144060798745318,0.2645310688443308,0.2551630586399862,0.27148072378258187,0.01932741568323511
SVM (RBF),Covariate Shift,2.0,0.7214658613983007,0.7127495137680419,0.728393387245368,0.7189795838726524,0.7097077116752482,0.7265551254925917,0.6543524923162499,0.6391362234136715,0.6652184122612202,0.20038733488721752,0.1962990525335724,0.2059673781455595,0.01932741568323511
Decision Tree,Covariate Shift,2.0,0.5975023032040127,0.590277919950865,0.6083862217217729,0.6265914325294931,0.6196673417011932,0.6366402860946654,0.5961889589527329,0.587223172618699,0.6071915248531216,0.4024976967959873,0.391613778278227,0.409722080049135,0.01932741568323511
Random Forest,Covariate Shift,2.0,0.6540075749820862,0.6460717576005732,0.6650834271675709,0.6761198942596923,0.668032781976124,0.6863131473460252,0.7264611730457995,0.7155210238406579,0.7369424362154926,0.21392522264305458,0.20867063747568843,0.21887745240045037,0.01932741568323511
Gradient Boosting,Covariate Shift,2.0,0.6630156617872863,0.6532603132357457,0.6732802743371891,0.6835851875308255,0.6749790963854138,0.6933052427875392,0.705788233211183,0.6986693540176379,0.719274773675521,0.25462026893412937,0.2475314103062564,0.2614792593995804,0.01932741568323511
AdaBoost,Covariate Shift,2.0,0.6798034599242502,0.6722771010338827,0.6887706008803357,0.6978457398348397,0.6908467882312632,0.706463080806803,0.7276654085565533,0.7180623071177019,0.7375924347381226,0.21013567140613051,0.20812796444072654,0.21179441355343928,0.01932741568323511
Naive Baseline,Prior Probability Shift,0.1,0.7793392763502884,0.7717226009438909,0.7875799685369691,0.6826912840456199,0.6722901139663745,0.6939910107337616,0.5,0.5,0.5,0.2206607236497116,0.21242003146303093,0.22827739905610908,0.0009886120526571471
Naïve Bayes,Prior Probability Shift,0.1,0.6121657052962769,0.6010618772941794,0.622349239643419,0.6416873138458014,0.6315171280341206,0.6515350206875455,0.8268465318189703,0.8174350144045838,0.8349291496443659,0.383455117880169,0.3738722065554023,0.39419117585381275,0.0009886120526571471
Logistic Regression,Prior Probability Shift,0.1,0.8591504981646565,0.852488201363398,0.8660540115364447,0.8538680976167641,0.8471346643002864,0.8609435729905102,0.9034882004428064,0.8971144858218987,0.910916298707005,0.09884407844044639,0.0943165422969402,0.10233160770667357,0.0009886120526571471
SVM (RBF),Prior Probability Shift,0.1,0.8667016255899318,0.8600340849501835,0.8727399056109072,0.8608197410399077,0.8536102359207293,0.8673503168561372,0.8985929102879572,0.8918135388348908,0.9047557308851997,0.1003628199811558,0.09635187793524302,0.10428233763996672,0.0009886120526571471
Decision Tree,Prior Probability Shift,0.1,0.8201363398007341,0.8136680650235973,0.8272102779234399,0.82216295941878,0.8151284488569706,0.829299801047242,0.750363803263791,0.7423153455844718,0.760391644735161,0.17986366019926586,0.17278972207656004,0.1863319349764027,0.0009886120526571471
Random Forest,Prior Probability Shift,0.1,0.865862611431568,0.8608180388044048,0.8729444153120084,0.8627222087039781,0.8576411577376405,0.8702566040928716,0.9031708000038887,0.8976327856470029,0.9106103845295834,0.09693366427780692,0.09309780149886383,0.09982539411816116,0.0009886120526571471
Gradient Boosting,Prior Probability Shift,0.1,0.8751966439433665,0.8670503408495018,0.8808809648662821,0.8691741632172852,0.8599361960633176,0.8754655483818738,0.9211702990708434,0.9142201531993537,0.9269708527050408,0.08778101956357641,0.08400993567377071,0.09199822312703217,0.0009886120526571471
AdaBoost,Prior Probability Shift,0.1,0.8639748295752491,0.8557629785002622,0.8715416885159937,0.8579726232326988,0.8491058334763358,0.8660515120009538,0.9093249466703304,0.9034179333924159,0.9164889259092946,0.16992784171412406,0.1685328144306883,0.1710591941760453,0.0009886120526571471
Naive Baseline,Prior Probability Shift,0.25,0.8091245644599303,0.8012984538327527,0.8192971472125435,0.7237562008428219,0.7129073094591784,0.7379212785335107,0.5,0.5,0.5,0.1908754355400697,0.18070285278745643,0.19870154616724736,0.002536635839068818
Naïve Bayes,Prior Probability Shift,0.25,0.601154181184669,0.5904507839721254,0.6095492160278746,0.6402974544588322,0.6294088837910377,0.6493695740650108,0.828674960041202,0.8216531648917703,0.8373850100499608,0.3942639204337904,0.3857300254037489,0.40524500783943046,0.002536635839068818
Logistic Regression,Prior Probability Shift,0.25,0.8699912891986062,0.8624673344947735,0.8766087761324042,0.866350063892393,0.8579233062717658,0.872911079577992,0.9032243627491959,0.896912633023574,0.9100691971014934,0.09243826714401873,0.088746948845378,0.09660768475602292,0.002536635839068818
SVM (RBF),Prior Probability Shift,0.25,0.8755444250871081,0.8692127613240418,0.8816419860627178,0.8707279380676368,0.8642015139905976,0.8775076077039787,0.8970772982517311,0.8888620154483744,0.9050528271228044,0.09329566694176497,0.08969229897704276,0.09724403329678336,0.002536635839068818
Decision Tree,Prior Probability Shift,0.25,0.8250217770034843,0.8173889372822299,0.8331337108013938,0.8293011818447383,0.821521798221133,0.8373097923784207,0.7436729376320333,0.7316092048198355,0.7575296983709309,0.1749782229965157,0.16686628919860627,0.18261106271777003,0.002536635839068818
Random Forest,Prior Probability Shift,0.25,0.8736933797909407,0.8680204703832752,0.8792465156794426,0.8717786231123212,0.8654483666254515,0.8779118766426345,0.9019840106465697,0.8964402142568876,0.9094495565033011,0.09143113506581495,0.08757764037093496,0.09432553520766791,0.002536635839068818
Gradient Boosting,Prior Probability Shift,0.25,0.8841463414634146,0.8778827308362369,0.8895388719512195,0.8790550527007306,0.8722033638077127,0.8853176807383601,0.9199846805096332,0.9121898014463964,0.925894752533585,0.08219914404051817,0.07910360685428346,0.0855117383062138,0.002536635839068818
AdaBoost,Prior Probability Shift,0.25,0.8735844947735192,0.8653337325783972,0.8797501088850175,0.8688329609406867,0.8598532424514649,0.8757191707686998,0.9089493659215648,0.9019853313922247,0.9158782773211256,0.1676943071257148,0.16629970900984176,0.1690271690662634,0.002536635839068818
Naive Baseline,Prior Probability Shift,0.5,0.8640697674418605,0.8569156976744187,0.8719447674418604,0.8010607500293763,0.7908862150482291,0.8122972094411041,0.5,0.5,0.5,0.13593023255813955,0.12805523255813953,0.1430843023255814,0.005410740712904415
Naïve Bayes,Prior Probability Shift,0.5,0.5786046511627907,0.5678662790697674,0.5879127906976744,0.6407362513222669,0.630163589060303,0.6479027440643228,0.8261934519564597,0.8164764678839628,0.8382092478823903,0.4165855906057028,0.4078575655294148,0.4270999429693296,0.005410740712904415
Logistic Regression,Prior Probability Shift,0.5,0.8862790697674419,0.8806366279069767,0.8918052325581395,0.8859066938070725,0.8796272630064487,0.8921762004755961,0.900907798567465,0.8928771254512823,0.9088794644494896,0.08184546648510586,0.07816234931606492,0.08480152120524262,0.005410740712904415
SVM (RBF),Prior Probability Shift,0.5,0.8945348837209303,0.8874418604651163,0.9010581395348838,0.8930108372025453,0.8859825405450658,0.8996945663531812,0.8935792409644061,0.8835075288122622,0.9018331393362575,0.0801789317614098,0.07631034596769135,0.08402468698553318,0.005410740712904415
Decision Tree,Prior Probability Shift,0.5,0.8384883720930233,0.831514534883721,0.8472151162790698,0.8492769684642494,0.8428634068500508,0.8575985196184582,0.7400213702590781,0.7267981078885213,0.7522570797524576,0.16151162790697673,0.15278488372093024,0.16848546511627904,0.005410740712904415
Random Forest,Prior Probability Shift,0.5,0.8887209302325582,0.8827296511627907,0.8958139534883721,0.8900937018841413,0.883824002840612,0.8971737194374939,0.9013312552471618,0.8942455052596362,0.9077565746239443,0.08146227777777779,0.07796305247900517,0.08478876570574934,0.005410740712904415
Gradient Boosting,Prior Probability Shift,0.5,0.9024418604651163,0.8967383720930232,0.9090203488372093,0.9000934483211148,0.894346869548433,0.9069611841446708,0.9186393923036907,0.9109344329197931,0.9254903961691237,0.07174296887210674,0.06782907984266211,0.07471413086538962,0.005410740712904415
AdaBoost,Prior Probability Shift,0.5,0.892093023255814,0.8854040697674419,0.899343023255814,0.8906388236321261,0.8839488363845409,0.8988190214155901,0.9071526478158511,0.8998396396987455,0.9136776641947332,0.16385911556951244,0.16267790256722095,0.16496858923840318,0.005410740712904415
